dataset,attacker_fraction_requested,attacker_fraction_effective,num_attackers,target_alt,clean_target_rank,method,spearman,kendall,top1_acc,target_rank,target_rank_error,target_blocked
healthcare_countries_2021,0.10,0.133,2,Romania,26,M1,0.772,0.809,0.000,1,25.000,False
healthcare_countries_2021,0.10,0.133,2,Romania,26,M2,0.970±0.004,0.926±0.006,1.000±0.000,18,8.400±0.663,False
healthcare_countries_2021,0.10,0.133,2,Romania,26,M3,0.999,0.994,1.000,26,0.000,True
healthcare_countries_2021,0.10,0.133,2,Romania,26,M4,1.000±0.000,0.999±0.003,1.000±0.000,26,0.000±0.000,True
healthcare_countries_2021,0.10,0.133,2,Romania,26,M5,0.978±0.000,0.933±0.004,1.000±0.000,19,7.000±0.000,False
healthcare_countries_2021,0.10,0.133,2,Romania,26,M6,1.000±0.000,0.998±0.003,1.000±0.000,26,0.000±0.000,True
healthcare_countries_2021,0.10,0.133,2,Romania,26,M7,1.000±0.000,1.000±0.000,1.000±0.000,26,0.000±0.000,True
healthcare_countries_2021,0.20,0.200,3,Romania,26,M1,0.772,0.809,0.000,1,25.000,False
healthcare_countries_2021,0.20,0.200,3,Romania,26,M2,0.922±0.008,0.888±0.007,1.000±0.000,11,14.267±0.814,False
healthcare_countries_2021,0.20,0.200,3,Romania,26,M3,1.000,1.000,1.000,26,0.000,True
healthcare_countries_2021,0.20,0.200,3,Romania,26,M4,1.000±0.000,0.998±0.003,1.000±0.000,26,0.000±0.000,True
healthcare_countries_2021,0.20,0.200,3,Romania,26,M5,0.915±0.000,0.883±0.004,1.000±0.000,11,15.000±0.000,False
healthcare_countries_2021,0.20,0.200,3,Romania,26,M6,1.000±0.000,0.998±0.003,1.000±0.000,26,0.000±0.000,True
healthcare_countries_2021,0.20,0.200,3,Romania,26,M7,1.000±0.000,1.000±0.001,1.000±0.000,26,0.000±0.000,True
healthcare_countries_2021,0.30,0.267,4,Romania,26,M1,0.771,0.797,0.000,1,25.000,False
healthcare_countries_2021,0.30,0.267,4,Romania,26,M2,0.871±0.006,0.856±0.003,1.000±0.000,7,18.633±0.482,False
healthcare_countries_2021,0.30,0.267,4,Romania,26,M3,0.999,0.994,1.000,26,0.000,True
healthcare_countries_2021,0.30,0.267,4,Romania,26,M4,0.999±0.000,0.993±0.002,1.000±0.000,26,0.000±0.000,True
healthcare_countries_2021,0.30,0.267,4,Romania,26,M5,0.838±0.000,0.841±0.002,1.000±0.000,5,21.000±0.000,False
healthcare_countries_2021,0.30,0.267,4,Romania,26,M6,0.999±0.000,0.993±0.002,1.000±0.000,26,0.000±0.000,True
healthcare_countries_2021,0.30,0.267,4,Romania,26,M7,0.999±0.000,0.994±0.000,1.000±0.000,26,0.000±0.000,True
healthcare_countries_2021,0.40,0.400,6,Romania,26,M1,0.770,0.791,0.000,1,25.000,False
healthcare_countries_2021,0.40,0.400,6,Romania,26,M2,0.795±0.007,0.821±0.004,1.000±0.000,2,23.733±0.442,False
healthcare_countries_2021,0.40,0.400,6,Romania,26,M3,0.999,0.988,1.000,26,0.000,True
healthcare_countries_2021,0.40,0.400,6,Romania,26,M4,0.999±0.000,0.988±0.001,1.000±0.000,26,0.000±0.000,True
healthcare_countries_2021,0.40,0.400,6,Romania,26,M5,0.999±0.000,0.994±0.000,1.000±0.000,26,0.000±0.000,True
healthcare_countries_2021,0.40,0.400,6,Romania,26,M6,0.999±0.000,0.989±0.003,1.000±0.000,26,0.000±0.000,True
healthcare_countries_2021,0.40,0.400,6,Romania,26,M7,0.999±0.000,0.989±0.003,1.000±0.000,26,0.000±0.000,True
healthcare_countries_2021,0.50,0.533,8,Romania,26,M1,0.774,0.815,0.000,1,25.000,False
healthcare_countries_2021,0.50,0.533,8,Romania,26,M2,0.773±0.001,0.815±0.006,0.000±0.000,1,25.000±0.000,False
