dataset,attacker_fraction_requested,attacker_fraction_effective,num_attackers,target_alt,clean_target_rank,M1_target_rank,M1_target_error,M1_blocked,M2_target_rank,M2_target_error,M2_blocked,M3_target_rank,M3_target_error,M3_blocked,M4_target_rank,M4_target_error,M4_blocked,M5_target_rank,M5_target_error,M5_blocked,M6_target_rank,M6_target_error,M6_blocked,M7_target_rank,M7_target_error,M7_blocked
car_evaluation,0.10,0.133,2,Car_1_unacc,300,78,222.000,False,272,28.967±3.038,False,300,0.000,True,300,0.000±0.000,True,289,11.067±0.249,False,300,0.000±0.000,True,300,0.000±0.000,True
car_evaluation,0.20,0.200,3,Car_1_unacc,300,48,252.000,False,230,70.733±4.328,False,300,0.000,True,300,0.000±0.000,True,258,42.000±0.000,False,300,0.000±0.000,True,300,0.000±0.000,True
car_evaluation,0.30,0.267,4,Car_1_unacc,300,24,276.000,False,180,124.400±5.908,False,300,0.000,True,300,0.000±0.000,True,192,108.000±0.000,False,300,0.000±0.000,True,300,0.000±0.000,True
car_evaluation,0.40,0.400,6,Car_1_unacc,300,1,299.000,False,77,225.933±6.314,False,300,0.000,True,300,0.000±0.000,True,300,0.000±0.000,True,300,0.000±0.000,True,300,0.000±0.000,True
car_evaluation,0.50,0.533,8,Car_1_unacc,300,1,299.000,False,18,282.967±2.869,False,1,299.000,False,1,299.000±0.000,False,1,299.000±0.000,False,1,299.000±0.000,False,300,0.000±0.000,True
car_evaluation,0.60,0.600,9,Car_1_unacc,300,1,299.000,False,8,292.967±2.415,False,1,299.000,False,1,299.000±0.000,False,1,299.000±0.000,False,1,299.000±0.000,False,300,0.000±0.000,True
healthcare_countries_2021,0.10,0.133,2,Romania,26,1,25.000,False,18,8.400±0.663,False,26,0.000,True,26,0.000±0.000,True,19,7.000±0.000,False,26,0.000±0.000,True,26,0.000±0.000,True
healthcare_countries_2021,0.20,0.200,3,Romania,26,1,25.000,False,11,14.267±0.814,False,26,0.000,True,26,0.000±0.000,True,11,15.000±0.000,False,26,0.000±0.000,True,26,0.000±0.000,True
healthcare_countries_2021,0.30,0.267,4,Romania,26,1,25.000,False,7,18.633±0.482,False,26,0.000,True,26,0.000±0.000,True,5,21.000±0.000,False,26,0.000±0.000,True,26,0.000±0.000,True
healthcare_countries_2021,0.40,0.400,6,Romania,26,1,25.000,False,2,23.733±0.442,False,26,0.000,True,26,0.000±0.000,True,26,0.000±0.000,True,26,0.000±0.000,True,26,0.000±0.000,True
healthcare_countries_2021,0.50,0.533,8,Romania,26,1,25.000,False,1,25.000±0.000,False,1,25.000,False,1,25.000±0.000,False,1,25.000±0.000,False,1,25.000±0.000,False,26,0.000±0.000,True
healthcare_countries_2021,0.60,0.600,9,Romania,26,1,25.000,False,1,25.000±0.000,False,1,25.000,False,1,25.000±0.000,False,1,25.000±0.000,False,1,25.000±0.000,False,26,0.000±0.000,True
healthcare_resource_allocation,0.10,0.133,2,衡水市_2008,300,3,297.000,False,168,134.033±5.642,False,300,0.000,True,300,0.000±0.000,True,166,134.033±0.180,False,300,0.000±0.000,True,300,0.000±0.000,True
healthcare_resource_allocation,0.20,0.200,3,衡水市_2008,300,1,299.000,False,101,200.667±6.680,False,300,0.000,True,300,0.000±0.000,True,62,238.467±0.499,False,300,0.000±0.000,True,300,0.000±0.000,True
healthcare_resource_allocation,0.30,0.267,4,衡水市_2008,300,1,299.000,False,52,246.600±4.521,False,300,0.000,True,300,0.000±0.000,True,16,284.000±0.000,False,300,0.000±0.000,True,300,0.000±0.000,True
healthcare_resource_allocation,0.40,0.400,6,衡水市_2008,300,1,299.000,False,11,289.333±2.241,False,300,0.000,True,300,0.000±0.000,True,300,0.000±0.000,True,300,0.000±0.000,True,300,0.000±0.000,True
healthcare_resource_allocation,0.50,0.533,8,衡水市_2008,300,1,299.000,False,1,298.400±0.757,False,1,299.000,False,1,299.000±0.000,False,1,299.000±0.000,False,1,299.000±0.000,False,300,0.000±0.000,True
healthcare_resource_allocation,0.60,0.600,9,衡水市_2008,300,1,299.000,False,1,299.000±0.000,False,1,299.000,False,1,299.000±0.000,False,1,299.000±0.000,False,1,299.000±0.000,False,300,0.000±0.000,True
