dataset,attacker_fraction_requested,target_alt,clean_target_rank,method,spearman,kendall,top1_acc,target_rank,target_rank_error,target_blocked
healthcare_countries_2021,0.10,Romania,26,EB1_MedianTOPSIS,0.998,0.988,1.000,26,0.000,True
healthcare_countries_2021,0.10,Romania,26,EB2_TrimmedMeanTOPSIS,1.000,1.000,1.000,26,0.000,True
healthcare_countries_2021,0.10,Romania,26,EB3_MADConsensusTOPSIS,1.000,1.000,1.000,26,0.000,True
healthcare_countries_2021,0.10,Romania,26,EB4_IndividualBordaTOPSIS,0.990,0.926,1.000,25,1.000,False
healthcare_countries_2021,0.10,Romania,26,EB5_HuangLiGroupIdealTOPSIS,0.882,0.883,1.000,8,18.000,False
healthcare_countries_2021,0.20,Romania,26,EB1_MedianTOPSIS,1.000,1.000,1.000,26,0.000,True
healthcare_countries_2021,0.20,Romania,26,EB2_TrimmedMeanTOPSIS,0.999,0.994,1.000,26,0.000,True
healthcare_countries_2021,0.20,Romania,26,EB3_MADConsensusTOPSIS,1.000,1.000,1.000,26,0.000,True
healthcare_countries_2021,0.20,Romania,26,EB4_IndividualBordaTOPSIS,0.958,0.828,1.000,22,4.000,False
healthcare_countries_2021,0.20,Romania,26,EB5_HuangLiGroupIdealTOPSIS,0.856,0.877,1.000,6,20.000,False
healthcare_countries_2021,0.30,Romania,26,EB1_MedianTOPSIS,0.998,0.982,1.000,26,0.000,True
healthcare_countries_2021,0.30,Romania,26,EB2_TrimmedMeanTOPSIS,0.978,0.938,1.000,19,7.000,False
healthcare_countries_2021,0.30,Romania,26,EB3_MADConsensusTOPSIS,0.999,0.994,1.000,26,0.000,True
healthcare_countries_2021,0.30,Romania,26,EB4_IndividualBordaTOPSIS,0.948,0.791,1.000,22,4.000,False
healthcare_countries_2021,0.30,Romania,26,EB5_HuangLiGroupIdealTOPSIS,0.826,0.858,1.000,4,22.000,False
healthcare_countries_2021,0.40,Romania,26,EB1_MedianTOPSIS,0.994,0.963,1.000,23,3.000,False
healthcare_countries_2021,0.40,Romania,26,EB2_TrimmedMeanTOPSIS,0.774,0.822,0.000,1,25.000,False
