dataset,attacker_fraction_requested,target_alt,clean_target_rank,EB1_MedianTOPSIS_target_rank,EB1_MedianTOPSIS_target_error,EB1_MedianTOPSIS_blocked,EB2_TrimmedMeanTOPSIS_target_rank,EB2_TrimmedMeanTOPSIS_target_error,EB2_TrimmedMeanTOPSIS_blocked,EB3_MADConsensusTOPSIS_target_rank,EB3_MADConsensusTOPSIS_target_error,EB3_MADConsensusTOPSIS_blocked,EB4_IndividualBordaTOPSIS_target_rank,EB4_IndividualBordaTOPSIS_target_error,EB4_IndividualBordaTOPSIS_blocked,EB5_HuangLiGroupIdealTOPSIS_target_rank,EB5_HuangLiGroupIdealTOPSIS_target_error,EB5_HuangLiGroupIdealTOPSIS_blocked
car_evaluation,0.10,Car_1_unacc,300,300,0.000,True,300,0.000,True,300,0.000,True,290,10.000,False,118,182.000,False
car_evaluation,0.20,Car_1_unacc,300,300,0.000,True,300,0.000,True,300,0.000,True,282,18.000,False,73,227.000,False
car_evaluation,0.30,Car_1_unacc,300,300,0.000,True,293,7.000,False,300,0.000,True,267,33.000,False,53,247.000,False
car_evaluation,0.40,Car_1_unacc,300,300,0.000,True,98,202.000,False,300,0.000,True,229,71.000,False,27,273.000,False
car_evaluation,0.50,Car_1_unacc,300,1,299.000,False,1,299.000,False,1,299.000,False,121,179.000,False,15,285.000,False
car_evaluation,0.60,Car_1_unacc,300,1,299.000,False,1,299.000,False,1,299.000,False,85,215.000,False,11,289.000,False
healthcare_countries_2021,0.10,Romania,26,26,0.000,True,26,0.000,True,26,0.000,True,25,1.000,False,8,18.000,False
healthcare_countries_2021,0.20,Romania,26,26,0.000,True,26,0.000,True,26,0.000,True,22,4.000,False,6,20.000,False
healthcare_countries_2021,0.30,Romania,26,26,0.000,True,19,7.000,False,26,0.000,True,22,4.000,False,4,22.000,False
healthcare_countries_2021,0.40,Romania,26,23,3.000,False,1,25.000,False,26,0.000,True,16,10.000,False,2,24.000,False
healthcare_countries_2021,0.50,Romania,26,1,25.000,False,1,25.000,False,1,25.000,False,12,14.000,False,1,25.000,False
healthcare_countries_2021,0.60,Romania,26,1,25.000,False,1,25.000,False,1,25.000,False,9,17.000,False,1,25.000,False
healthcare_resource_allocation,0.10,衡水市_2008,300,300,0.000,True,300,0.000,True,300,0.000,True,275,25.000,False,17,283.000,False
healthcare_resource_allocation,0.20,衡水市_2008,300,299,1.000,False,300,0.000,True,300,0.000,True,257,43.000,False,12,288.000,False
healthcare_resource_allocation,0.30,衡水市_2008,300,292,8.000,False,170,130.000,False,300,0.000,True,238,62.000,False,8,292.000,False
healthcare_resource_allocation,0.40,衡水市_2008,300,278,22.000,False,1,299.000,False,300,0.000,True,179,121.000,False,5,295.000,False
healthcare_resource_allocation,0.50,衡水市_2008,300,1,299.000,False,1,299.000,False,1,299.000,False,127,173.000,False,4,296.000,False
healthcare_resource_allocation,0.60,衡水市_2008,300,1,299.000,False,1,299.000,False,1,299.000,False,95,205.000,False,3,297.000,False
