evidence_set,dataset,mode,alternatives,criteria,decision_makers,target_alt,clean_target_rank,method,spearman,spearman_mean,spearman_std,kendall,kendall_mean,kendall_std,top1_acc,top1_mean,top1_std,target_rank,target_rank_error,target_rank_error_mean,target_rank_error_std,target_blocked
post_fix_focused_30x200,car_evaluation,clean,300,6,15,Car_1_unacc,300,M1,1.000,1.0,,1.000,1.0,,1.000,1.0,,300,0.000,0.0,,True
post_fix_focused_30x200,car_evaluation,clean,300,6,15,Car_1_unacc,300,M2,0.999±0.000,0.999,0.0,0.985±0.000,0.985,0.0,1.000±0.000,1.0,0.0,300,0.000±0.000,0.0,0.0,True
post_fix_focused_30x200,car_evaluation,clean,300,6,15,Car_1_unacc,300,M3,1.000,1.0,,1.000,1.0,,1.000,1.0,,300,0.000,0.0,,True
post_fix_focused_30x200,car_evaluation,clean,300,6,15,Car_1_unacc,300,M4,0.999±0.000,0.999,0.0,0.980±0.000,0.98,0.0,1.000±0.000,1.0,0.0,300,0.000±0.000,0.0,0.0,True
post_fix_focused_30x200,car_evaluation,clean,300,6,15,Car_1_unacc,300,M5,0.999±0.000,0.999,0.0,0.983±0.000,0.983,0.0,1.000±0.000,1.0,0.0,300,0.000±0.000,0.0,0.0,True
post_fix_focused_30x200,car_evaluation,clean,300,6,15,Car_1_unacc,300,M6,0.999±0.000,0.999,0.0,0.978±0.001,0.978,0.001,1.000±0.000,1.0,0.0,300,0.000±0.000,0.0,0.0,True
post_fix_focused_30x200,car_evaluation,clean,300,6,15,Car_1_unacc,300,M7,0.999±0.000,0.999,0.0,0.984±0.000,0.984,0.0,1.000±0.000,1.0,0.0,300,0.000±0.000,0.0,0.0,True
post_fix_focused_30x200,car_evaluation,contaminated,300,6,15,Car_1_unacc,300,M1,0.982,0.982,,0.965,0.965,,1.000,1.0,,24,276.000,276.0,,False
post_fix_focused_30x200,car_evaluation,contaminated,300,6,15,Car_1_unacc,300,M2,0.996±0.000,0.996,0.0,0.972±0.001,0.972,0.001,1.000±0.000,1.0,0.0,180,124.400±5.908,124.4,5.908,False
post_fix_focused_30x200,car_evaluation,contaminated,300,6,15,Car_1_unacc,300,M3,0.999,0.999,,0.983,0.983,,1.000,1.0,,300,0.000,0.0,,True
post_fix_focused_30x200,car_evaluation,contaminated,300,6,15,Car_1_unacc,300,M4,0.999±0.000,0.999,0.0,0.978±0.000,0.978,0.0,1.000±0.000,1.0,0.0,300,0.000±0.000,0.0,0.0,True
post_fix_focused_30x200,car_evaluation,contaminated,300,6,15,Car_1_unacc,300,M5,0.996±0.000,0.996,0.0,0.973±0.000,0.973,0.0,1.000±0.000,1.0,0.0,192,108.000±0.000,108.0,0.0,False
post_fix_focused_30x200,car_evaluation,contaminated,300,6,15,Car_1_unacc,300,M6,0.999±0.000,0.999,0.0,0.978±0.000,0.978,0.0,1.000±0.000,1.0,0.0,300,0.000±0.000,0.0,0.0,True
post_fix_focused_30x200,car_evaluation,contaminated,300,6,15,Car_1_unacc,300,M7,0.999±0.000,0.999,0.0,0.978±0.000,0.978,0.0,1.000±0.000,1.0,0.0,300,0.000±0.000,0.0,0.0,True
post_fix_focused_30x200,healthcare_countries_2021,clean,26,13,15,Romania,26,M1,1.000,1.0,,1.000,1.0,,1.000,1.0,,26,0.000,0.0,,True
post_fix_focused_30x200,healthcare_countries_2021,clean,26,13,15,Romania,26,M2,1.000±0.000,1.0,0.0,0.996±0.003,0.996,0.003,1.000±0.000,1.0,0.0,26,0.000±0.000,0.0,0.0,True
post_fix_focused_30x200,healthcare_countries_2021,clean,26,13,15,Romania,26,M3,1.000,1.0,,1.000,1.0,,1.000,1.0,,26,0.000,0.0,,True
