dataset,attack_fraction_pct,alternatives,criteria,decision_makers,target_alt,clean_a1_rank,method,spearman,spearman_mean,spearman_std,kendall,kendall_mean,kendall_std,top1_acc,top1_mean,top1_std,a1_rank,a1_rank_mean,a1_rank_std,a1_rank_error,a1_rank_error_mean,a1_rank_error_std,target_blocked
DS10_500DM_10pct,10,20,12,500,A1,11,M1,0.848±0.000,0.848,0.0,0.737±0.000,0.737,0.0,0.000±0.000,0.0,0.0,1.000±0.000,1.0,0.0,10.000±0.000,10.0,0.0,False
DS10_500DM_10pct,10,20,12,500,A1,11,M2,0.895±0.001,0.895,0.001,0.795±0.005,0.795,0.005,1.000±0.000,1.0,0.0,2.000±0.000,2.0,0.0,9.000±0.000,9.0,0.0,False
DS10_500DM_10pct,10,20,12,500,A1,11,M3,0.998±0.000,0.998,0.0,0.989±0.000,0.989,0.0,1.000±0.000,1.0,0.0,11.000±0.000,11.0,0.0,0.000±0.000,0.0,0.0,True
DS10_500DM_10pct,10,20,12,500,A1,11,M4,0.953±0.002,0.953,0.002,0.868±0.005,0.868,0.005,1.000±0.000,1.0,0.0,14.500±0.500,14.5,0.5,3.500±0.500,3.5,0.5,False
DS10_500DM_10pct,10,20,12,500,A1,11,M5,0.895±0.005,0.895,0.005,0.789±0.021,0.789,0.021,1.000±0.000,1.0,0.0,2.000±0.000,2.0,0.0,9.000±0.000,9.0,0.0,False
DS10_500DM_10pct,10,20,12,500,A1,11,M6,0.952±0.006,0.952,0.006,0.863±0.021,0.863,0.021,1.000±0.000,1.0,0.0,13.500±0.500,13.5,0.5,2.500±0.500,2.5,0.5,False
DS10_500DM_10pct,10,20,12,500,A1,11,M7,0.953±0.002,0.953,0.002,0.868±0.005,0.868,0.005,1.000±0.000,1.0,0.0,14.500±0.500,14.5,0.5,3.500±0.500,3.5,0.5,False
DS1_10DM_30pct,30,5,4,10,A1,4,M1,0.400±0.000,0.4,0.0,0.400±0.000,0.4,0.0,0.000±0.000,0.0,0.0,1.000±0.000,1.0,0.0,3.000±0.000,3.0,0.0,False
DS1_10DM_30pct,30,5,4,10,A1,4,M2,0.400±0.000,0.4,0.0,0.400±0.000,0.4,0.0,0.000±0.000,0.0,0.0,1.000±0.000,1.0,0.0,3.000±0.000,3.0,0.0,False
DS1_10DM_30pct,30,5,4,10,A1,4,M3,0.900±0.000,0.9,0.0,0.800±0.000,0.8,0.0,1.000±0.000,1.0,0.0,3.000±0.000,3.0,0.0,1.000±0.000,1.0,0.0,False
DS1_10DM_30pct,30,5,4,10,A1,4,M4,0.900±0.000,0.9,0.0,0.800±0.000,0.8,0.0,1.000±0.000,1.0,0.0,5.000±0.000,5.0,0.0,1.000±0.000,1.0,0.0,False
DS1_10DM_30pct,30,5,4,10,A1,4,M5,0.900±0.000,0.9,0.0,0.800±0.000,0.8,0.0,1.000±0.000,1.0,0.0,5.000±0.000,5.0,0.0,1.000±0.000,1.0,0.0,False
DS1_10DM_30pct,30,5,4,10,A1,4,M6,0.800±0.100,0.8,0.1,0.700±0.100,0.7,0.1,1.000±0.000,1.0,0.0,5.000±0.000,5.0,0.0,1.000±0.000,1.0,0.0,False
DS1_10DM_30pct,30,5,4,10,A1,4,M7,0.900±0.000,0.9,0.0,0.800±0.000,0.8,0.0,1.000±0.000,1.0,0.0,5.000±0.000,5.0,0.0,1.000±0.000,1.0,0.0,False
DS2_10DM_50pct,50,5,4,10,A1,3,M1,-0.200±0.000,-0.2,0.0,-0.200±0.000,-0.2,0.0,0.000±0.000,0.0,0.0,1.000±0.000,1.0,0.0,2.000±0.000,2.0,0.0,False
DS2_10DM_50pct,50,5,4,10,A1,3,M2,0.600±0.000,0.6,0.0,0.400±0.000,0.4,0.0,0.000±0.000,0.0,0.0,1.000±0.000,1.0,0.0,2.000±0.000,2.0,0.0,False
DS2_10DM_50pct,50,5,4,10,A1,3,M3,-0.200±0.000,-0.2,0.0,-0.200±0.000,-0.2,0.0,0.000±0.000,0.0,0.0,1.000±0.000,1.0,0.0,2.000±0.000,2.0,0.0,False
DS2_10DM_50pct,50,5,4,10,A1,3,M4,0.500±0.000,0.5,0.0,0.200±0.000,0.2,0.0,0.000±0.000,0.0,0.0,1.000±0.000,1.0,0.0,2.000±0.000,2.0,0.0,False
DS2_10DM_50pct,50,5,4,10,A1,3,M5,0.600±0.000,0.6,0.0,0.400±0.000,0.4,0.0,0.000±0.000,0.0,0.0,1.000±0.000,1.0,0.0,2.000±0.000,2.0,0.0,False
DS2_10DM_50pct,50,5,4,10,A1,3,M6,0.550±0.050,0.55,0.05,0.300±0.100,0.3,0.1,0.000±0.000,0.0,0.0,1.000±0.000,1.0,0.0,2.000±0.000,2.0,0.0,False
DS2_10DM_50pct,50,5,4,10,A1,3,M7,0.550±0.050,0.55,0.05,0.300±0.100,0.3,0.1,0.000±0.000,0.0,0.0,1.000±0.000,1.0,0.0,2.000±0.000,2.0,0.0,False
DS3_20DM_25pct,25,8,6,20,A1,1,M1,1.000±0.000,1.0,0.0,1.000±0.000,1.0,0.0,1.000±0.000,1.0,0.0,1.000±0.000,1.0,0.0,0.000±0.000,0.0,0.0,True
DS3_20DM_25pct,25,8,6,20,A1,1,M2,0.917±0.012,0.917,0.012,0.821±0.036,0.821,0.036,1.000±0.000,1.0,0.0,1.000±0.000,1.0,0.0,0.000±0.000,0.0,0.0,True
DS3_20DM_25pct,25,8,6,20,A1,1,M3,1.000±0.000,1.0,0.0,1.000±0.000,1.0,0.0,1.000±0.000,1.0,0.0,1.000±0.000,1.0,0.0,0.000±0.000,0.0,0.0,True
DS3_20DM_25pct,25,8,6,20,A1,1,M4,0.917±0.012,0.917,0.012,0.821±0.036,0.821,0.036,1.000±0.000,1.0,0.0,1.000±0.000,1.0,0.0,0.000±0.000,0.0,0.0,True
