dataset,attack_fraction_pct,alternatives,criteria,decision_makers,target_alt,clean_a1_rank,M1_a1_rank,M1_a1_error,M1_blocked,M2_a1_rank,M2_a1_error,M2_blocked,M3_a1_rank,M3_a1_error,M3_blocked,M4_a1_rank,M4_a1_error,M4_blocked,M5_a1_rank,M5_a1_error,M5_blocked,M6_a1_rank,M6_a1_error,M6_blocked,M7_a1_rank,M7_a1_error,M7_blocked
DS10_500DM_10pct,10,20,12,500,A1,11,1.000±0.000,10.000±0.000,False,2.000±0.000,9.000±0.000,False,11.000±0.000,0.000±0.000,True,14.500±0.500,3.500±0.500,False,2.000±0.000,9.000±0.000,False,13.500±0.500,2.500±0.500,False,14.500±0.500,3.500±0.500,False
DS1_10DM_30pct,30,5,4,10,A1,4,1.000±0.000,3.000±0.000,False,1.000±0.000,3.000±0.000,False,3.000±0.000,1.000±0.000,False,5.000±0.000,1.000±0.000,False,5.000±0.000,1.000±0.000,False,5.000±0.000,1.000±0.000,False,5.000±0.000,1.000±0.000,False
DS2_10DM_50pct,50,5,4,10,A1,3,1.000±0.000,2.000±0.000,False,1.000±0.000,2.000±0.000,False,1.000±0.000,2.000±0.000,False,1.000±0.000,2.000±0.000,False,1.000±0.000,2.000±0.000,False,1.000±0.000,2.000±0.000,False,1.000±0.000,2.000±0.000,False
DS3_20DM_25pct,25,8,6,20,A1,1,1.000±0.000,0.000±0.000,True,1.000±0.000,0.000±0.000,True,1.000±0.000,0.000±0.000,True,1.000±0.000,0.000±0.000,True,1.000±0.000,0.000±0.000,True,1.000±0.000,0.000±0.000,True,1.000±0.000,0.000±0.000,True
DS4_15DM_40pct,40,6,5,15,A1,4,1.000±0.000,3.000±0.000,False,1.000±0.000,3.000±0.000,False,4.000±0.000,0.000±0.000,True,3.000±0.000,1.000±0.000,False,4.000±0.000,0.000±0.000,True,3.500±0.500,0.500±0.500,False,4.000±0.000,0.000±0.000,True
DS5_6DM_33pct,33,4,3,6,A1,1,1.000±0.000,0.000±0.000,True,1.000±0.000,0.000±0.000,True,1.000±0.000,0.000±0.000,True,2.000±0.000,1.000±0.000,False,2.000±0.000,1.000±0.000,False,2.000±0.000,1.000±0.000,False,2.000±0.000,1.000±0.000,False
DS6_30DM_20pct,20,10,6,30,A1,2,1.000±0.000,1.000±0.000,False,1.000±0.000,1.000±0.000,False,2.000±0.000,0.000±0.000,True,2.000±0.000,0.000±0.000,True,1.000±0.000,1.000±0.000,False,2.000±0.000,0.000±0.000,True,2.000±0.000,0.000±0.000,True
DS7_50DM_30pct,30,10,8,50,A1,8,1.000±0.000,7.000±0.000,False,1.000±0.000,7.000±0.000,False,8.000±0.000,0.000±0.000,True,8.000±0.000,0.000±0.000,True,1.000±0.000,7.000±0.000,False,8.000±0.000,0.000±0.000,True,8.000±0.000,0.000±0.000,True
DS8_100DM_20pct,20,10,8,100,A1,6,1.000±0.000,5.000±0.000,False,1.000±0.000,5.000±0.000,False,5.000±0.000,1.000±0.000,False,6.000±0.000,0.000±0.000,True,1.000±0.000,5.000±0.000,False,6.000±0.000,0.000±0.000,True,6.000±0.000,0.000±0.000,True
DS9_200DM_25pct,25,15,10,200,A1,2,1.000±0.000,1.000±0.000,False,1.000±0.000,1.000±0.000,False,2.000±0.000,0.000±0.000,True,2.000±0.000,0.000±0.000,True,1.000±0.000,1.000±0.000,False,2.000±0.000,0.000±0.000,True,2.000±0.000,0.000±0.000,True
