dataset,alternatives,criteria,decision_makers,fraction,method,num_bags,single_run_seconds,projected_30_repeat_seconds,top_ranked
healthcare_countries_2021,26,13,15,30pct,M1,0,0.003879,0.003879,Romania
healthcare_countries_2021,26,13,15,30pct,M2,200,0.379782,11.393456,Austria
healthcare_countries_2021,26,13,15,30pct,M3,0,0.011674,0.011674,Austria
healthcare_countries_2021,26,13,15,30pct,M4,200,0.387423,11.622676,Austria
healthcare_countries_2021,26,13,15,30pct,M5,200,0.405515,12.165454,Austria
healthcare_countries_2021,26,13,15,30pct,M6,200,0.290956,8.728688,Austria
healthcare_countries_2021,26,13,15,30pct,M7,200,0.314665,9.439956,Austria
car_evaluation,300,6,15,30pct,M1,0,0.027566,0.027566,Car_297_acc
car_evaluation,300,6,15,30pct,M2,200,2.195600,65.868006,Car_297_acc
car_evaluation,300,6,15,30pct,M3,0,0.030751,0.030751,Car_297_acc
car_evaluation,300,6,15,30pct,M4,200,2.225590,66.767711,Car_297_acc
car_evaluation,300,6,15,30pct,M5,200,2.265995,67.979857,Car_297_acc
car_evaluation,300,6,15,30pct,M6,200,1.728492,51.854771,Car_297_acc
car_evaluation,300,6,15,30pct,M7,200,1.818380,54.551413,Car_297_acc
healthcare_resource_allocation,300,18,15,30pct,M1,0,0.077116,0.077116,衡水市_2008
healthcare_resource_allocation,300,18,15,30pct,M2,200,6.809488,204.284635,北京市_2020
healthcare_resource_allocation,300,18,15,30pct,M3,0,0.103576,0.103576,北京市_2020
healthcare_resource_allocation,300,18,15,30pct,M4,200,6.862630,205.878902,北京市_2020
healthcare_resource_allocation,300,18,15,30pct,M5,200,7.013459,210.403774,北京市_2020
healthcare_resource_allocation,300,18,15,30pct,M6,200,5.468489,164.054656,北京市_2020
healthcare_resource_allocation,300,18,15,30pct,M7,200,5.730772,171.923161,北京市_2019
