dataset,attacker_fraction_requested,attacker_fraction_effective,method,metric,mean,std,n,ci95_low,ci95_high
healthcare_countries_2021,0.10,0.133,M1,spearman,0.772000,,1,0.772000,0.772000
healthcare_countries_2021,0.10,0.133,M1,kendall,0.809000,,1,0.809000,0.809000
healthcare_countries_2021,0.10,0.133,M1,top1_acc,0.000000,,1,0.000000,0.000000
healthcare_countries_2021,0.10,0.133,M1,target_rank_error,25.000000,,1,25.000000,25.000000
healthcare_countries_2021,0.10,0.133,M2,spearman,0.970000,0.004000,30,0.968507,0.971493
healthcare_countries_2021,0.10,0.133,M2,kendall,0.926000,0.006000,30,0.923760,0.928240
healthcare_countries_2021,0.10,0.133,M2,top1_acc,1.000000,0.000000,30,1.000000,1.000000
healthcare_countries_2021,0.10,0.133,M2,target_rank_error,8.400000,0.663000,30,8.152460,8.647540
healthcare_countries_2021,0.10,0.133,M3,spearman,0.999000,,1,0.999000,0.999000
healthcare_countries_2021,0.10,0.133,M3,kendall,0.994000,,1,0.994000,0.994000
healthcare_countries_2021,0.10,0.133,M3,top1_acc,1.000000,,1,1.000000,1.000000
healthcare_countries_2021,0.10,0.133,M3,target_rank_error,0.000000,,1,0.000000,0.000000
healthcare_countries_2021,0.10,0.133,M4,spearman,1.000000,0.000000,30,1.000000,1.000000
healthcare_countries_2021,0.10,0.133,M4,kendall,0.999000,0.003000,30,0.997880,1.000120
healthcare_countries_2021,0.10,0.133,M4,top1_acc,1.000000,0.000000,30,1.000000,1.000000
healthcare_countries_2021,0.10,0.133,M4,target_rank_error,0.000000,0.000000,30,0.000000,0.000000
healthcare_countries_2021,0.10,0.133,M5,spearman,0.978000,0.000000,30,0.978000,0.978000
healthcare_countries_2021,0.10,0.133,M5,kendall,0.933000,0.004000,30,0.931507,0.934493
healthcare_countries_2021,0.10,0.133,M5,top1_acc,1.000000,0.000000,30,1.000000,1.000000
healthcare_countries_2021,0.10,0.133,M5,target_rank_error,7.000000,0.000000,30,7.000000,7.000000
healthcare_countries_2021,0.10,0.133,M6,spearman,1.000000,0.000000,30,1.000000,1.000000
healthcare_countries_2021,0.10,0.133,M6,kendall,0.998000,0.003000,30,0.996880,0.999120
