method,cases,blocked_cases,blocked_rate,mean_target_rank_error,max_target_rank_error
EB1_MedianTOPSIS,18,8,0.444,71.111111,299.000000
EB2_TrimmedMeanTOPSIS,18,6,0.333,106.444444,299.000000
EB3_MADConsensusTOPSIS,18,12,0.667,69.222222,299.000000
EB4_IndividualBordaTOPSIS,18,0,0.000,66.944444,215.000000
EB5_HuangLiGroupIdealTOPSIS,18,0,0.000,188.222222,297.000000
M1,18,0,0.000,199.388889,299.000000
M2,18,0,0.000,144.946278,299.000000
M3,18,12,0.667,69.222222,299.000000
M4,18,12,0.667,69.222222,299.000000
M5,18,3,0.167,117.031500,299.000000
M6,18,12,0.667,69.222222,299.000000
M7,18,18,1.000,0.000000,0.000000
