dataset,method,spearman,kendall,top1_acc,a1_rank_mean,a1_rank_error
DS1_10DM_30pct,M1,0.400±0.000,0.400±0.000,0.000±0.000,1.000±0.000,3.000±0.000
DS1_10DM_30pct,M2,0.400±0.000,0.400±0.000,0.000±0.000,1.000±0.000,3.000±0.000
DS1_10DM_30pct,M3,0.900±0.000,0.800±0.000,1.000±0.000,3.000±0.000,1.000±0.000
DS1_10DM_30pct,M4,0.900±0.000,0.800±0.000,1.000±0.000,5.000±0.000,1.000±0.000
DS1_10DM_30pct,M5,0.900±0.000,0.800±0.000,1.000±0.000,5.000±0.000,1.000±0.000
DS1_10DM_30pct,M6,0.800±0.100,0.700±0.100,1.000±0.000,5.000±0.000,1.000±0.000
DS1_10DM_30pct,M7,0.900±0.000,0.800±0.000,1.000±0.000,5.000±0.000,1.000±0.000
DS2_10DM_50pct,M1,-0.200±0.000,-0.200±0.000,0.000±0.000,1.000±0.000,2.000±0.000
DS2_10DM_50pct,M2,0.600±0.000,0.400±0.000,0.000±0.000,1.000±0.000,2.000±0.000
DS2_10DM_50pct,M3,-0.200±0.000,-0.200±0.000,0.000±0.000,1.000±0.000,2.000±0.000
DS2_10DM_50pct,M4,0.500±0.000,0.200±0.000,0.000±0.000,1.000±0.000,2.000±0.000
DS2_10DM_50pct,M5,0.600±0.000,0.400±0.000,0.000±0.000,1.000±0.000,2.000±0.000
DS2_10DM_50pct,M6,0.550±0.050,0.300±0.100,0.000±0.000,1.000±0.000,2.000±0.000
DS2_10DM_50pct,M7,0.550±0.050,0.300±0.100,0.000±0.000,1.000±0.000,2.000±0.000
DS3_20DM_25pct,M1,1.000±0.000,1.000±0.000,1.000±0.000,1.000±0.000,0.000±0.000
DS3_20DM_25pct,M2,0.917±0.012,0.821±0.036,1.000±0.000,1.000±0.000,0.000±0.000
DS3_20DM_25pct,M3,1.000±0.000,1.000±0.000,1.000±0.000,1.000±0.000,0.000±0.000
DS3_20DM_25pct,M4,0.917±0.012,0.821±0.036,1.000±0.000,1.000±0.000,0.000±0.000
DS3_20DM_25pct,M5,0.905±0.000,0.786±0.000,1.000±0.000,1.000±0.000,0.000±0.000
DS3_20DM_25pct,M6,0.917±0.012,0.821±0.036,1.000±0.000,1.000±0.000,0.000±0.000
DS3_20DM_25pct,M7,0.929±0.000,0.857±0.000,1.000±0.000,1.000±0.000,0.000±0.000
DS4_15DM_40pct,M1,0.657±0.000,0.600±0.000,0.000±0.000,1.000±0.000,3.000±0.000
DS4_15DM_40pct,M2,0.657±0.000,0.600±0.000,0.000±0.000,1.000±0.000,3.000±0.000
DS4_15DM_40pct,M3,1.000±0.000,1.000±0.000,1.000±0.000,4.000±0.000,0.000±0.000
DS4_15DM_40pct,M4,0.943±0.000,0.867±0.000,1.000±0.000,3.000±0.000,1.000±0.000
DS4_15DM_40pct,M5,1.000±0.000,1.000±0.000,1.000±0.000,4.000±0.000,0.000±0.000
DS4_15DM_40pct,M6,0.971±0.029,0.933±0.067,1.000±0.000,3.500±0.500,0.500±0.500
DS4_15DM_40pct,M7,1.000±0.000,1.000±0.000,1.000±0.000,4.000±0.000,0.000±0.000
DS5_6DM_33pct,M1,1.000±0.000,1.000±0.000,1.000±0.000,1.000±0.000,0.000±0.000
DS5_6DM_33pct,M2,0.800±0.000,0.667±0.000,1.000±0.000,1.000±0.000,0.000±0.000
